disease,symptoms
hypoglycemia,"vomiting, fatigue, sweating, headache, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations"
hypoglycemia,"vomiting, fatigue, anxiety, headache, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations"
hypoglycemia,"vomiting, fatigue, anxiety, sweating, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations"
hypoglycemia,"vomiting, fatigue, anxiety, sweating, headache, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations"
hypoglycemia,"vomiting, fatigue, anxiety, sweating, headache, nausea, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations"
osteoarthristis,"joint pain, neck pain, knee pain, hip joint pain, swelling joints, painful walking"
osteoarthristis,"neck pain, knee pain, hip joint pain, swelling joints, painful walking"
osteoarthristis,"joint pain, knee pain, hip joint pain, swelling joints, painful walking"
osteoarthristis,"joint pain, neck pain, hip joint pain, swelling joints, painful walking"
osteoarthristis,"joint pain, neck pain, knee pain, swelling joints, painful walking"
osteoarthristis,"joint pain, neck pain, knee pain, hip joint pain, painful walking"
osteoarthristis,"joint pain, neck pain, knee pain, hip joint pain, swelling joints"
arthritis,"muscle weakness, stiff neck, swelling joints, movement stiffness, painful walking"
arthritis,"stiff neck, swelling joints, movement stiffness, painful walking"
arthritis,"muscle weakness, swelling joints, movement stiffness, painful walking"
arthritis,"muscle weakness, stiff neck, movement stiffness, painful walking"
arthritis,"muscle weakness, stiff neck, swelling joints, painful walking"
arthritis,"muscle weakness, stiff neck, swelling joints, movement stiffness"
(vertigo) paroymsal  positional vertigo,"vomiting, headache, nausea, spinning movements, loss of balance, unsteadiness"
(vertigo) paroymsal  positional vertigo,"headache, nausea, spinning movements, loss of balance, unsteadiness"
(vertigo) paroymsal  positional vertigo,"vomiting, nausea, spinning movements, loss of balance, unsteadiness"
(vertigo) paroymsal  positional vertigo,"vomiting, headache, spinning movements, loss of balance, unsteadiness"
(vertigo) paroymsal  positional vertigo,"vomiting, headache, nausea, loss of balance, unsteadiness"
(vertigo) paroymsal  positional vertigo,"vomiting, headache, nausea, spinning movements, unsteadiness"
(vertigo) paroymsal  positional vertigo,"vomiting, headache, nausea, spinning movements, loss of balance"
acne,"skin rash, pus filled pimples, blackheads, scurring"
acne,"pus filled pimples, blackheads, scurring"
acne,"skin rash, blackheads, scurring"
acne,"skin rash, pus filled pimples, scurring"
acne,"skin rash, pus filled pimples, blackheads"
urinary tract infection,"burning micturition, bladder discomfort, foul smell of urine, continuous feel of urine"
urinary tract infection,"bladder discomfort, foul smell of urine, continuous feel of urine"
urinary tract infection,"burning micturition, foul smell of urine, continuous feel of urine"
urinary tract infection,"burning micturition, bladder discomfort, continuous feel of urine"
urinary tract infection,"burning micturition, bladder discomfort, foul smell of urine"
psoriasis,"skin rash, joint pain, skin peeling, silver like dusting, small dents in nails, inflammatory nails"
psoriasis,"joint pain, skin peeling, silver like dusting, small dents in nails, inflammatory nails"
psoriasis,"skin rash, skin peeling, silver like dusting, small dents in nails, inflammatory nails"
psoriasis,"skin rash, joint pain, silver like dusting, small dents in nails, inflammatory nails"
psoriasis,"skin rash, joint pain, skin peeling, small dents in nails, inflammatory nails"
psoriasis,"skin rash, joint pain, skin peeling, silver like dusting, inflammatory nails"
psoriasis,"skin rash, joint pain, skin peeling, silver like dusting, small dents in nails"
impetigo,"skin rash, high fever, blister, red sore around nose, yellow crust ooze"
impetigo,"high fever, blister, red sore around nose, yellow crust ooze"
impetigo,"skin rash, blister, red sore around nose, yellow crust ooze"
impetigo,"skin rash, high fever, red sore around nose, yellow crust ooze"
impetigo,"skin rash, high fever, blister, yellow crust ooze"
impetigo,"skin rash, high fever, blister, red sore around nose"
